2020:06:20:16:19:33	Loc(arebrk11) IP(192.168.0.28) GM(GM1):"tp"
2020:06:20:16:19:38	Loc(arebrk11) IP(192.168.0.28) GM(GM1):"/tp fightzone1"
2020:06:20:16:19:59	Loc(fightzone1) IP(192.168.0.28) GM(GM1):"/summon Wyvern 5"
2020:06:20:16:20:13	Loc(fightzone1) IP(192.168.0.28) GM(GM1):"/clearnpc"
2020:06:20:16:20:44	Loc(fightzone1) IP(192.168.0.28) GM(GM1):"/summondemon"
2020:06:20:16:20:50	Loc(fightzone1) IP(192.168.0.28) GM(GM1):"/summon Wyvern 5"
2020:06:20:16:20:56	Loc(fightzone1) IP(192.168.0.28) GM(GM1):"/summon Fire-Wyvern 5"
2020:06:20:16:21:48	Loc(fightzone1) IP(192.168.0.28) GM(GM1):"/clearmap"
2020:06:20:16:21:57	Loc(fightzone1) IP(192.168.0.28) GM(GM1):"/clearnpc fightzone1"
2020:06:20:16:22:14	Loc(fightzone1) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:20:16:23:48	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden 39 187"
2020:06:20:16:27:15	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp elvine"
2020:06:20:18:10:03	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp elvine"
2020:06:20:18:10:04	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp elvine"
2020:06:20:18:10:05	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp elvine"
2020:06:20:18:10:06	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp elvine"
2020:06:20:18:10:07	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp elvine"
2020:06:20:18:10:08	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp elvine"
2020:06:20:18:10:18	Loc(elvine) IP(192.168.0.12) GM(GM1):"/createitem 10000GoldPocket"
2020:06:20:18:10:18	(192.168.0.12) GM Order(GM1): Create ItemName(10000GoldPocket)
2020:06:20:18:10:22	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp cityhall_1"
2020:06:20:18:10:42	Loc(cityhall_1) IP(192.168.0.12) GM(GM1):"/createitem 1000000GoldPocket"
2020:06:20:18:10:42	(192.168.0.12) GM Order(GM1): Create ItemName(1000000GoldPocket)
2020:06:20:18:10:56	Loc(cityhall_1) IP(192.168.0.12) GM(GM1):"/tp elvine"
2020:06:20:18:11:18	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:19	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:19	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:20	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:21	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:22	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:24	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:24	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:26	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:26	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:27	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:29	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:30	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:31	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:32	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:33	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:34	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:11:44	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp abaddon"
2020:06:20:18:11:57	Loc(abaddon) IP(192.168.0.12) GM(GM1):"/tp brk11"
2020:06:20:18:12:00	Loc(abaddon) IP(192.168.0.12) GM(GM1):"/tp arebkr11"
2020:06:20:18:12:06	Loc(abaddon) IP(192.168.0.12) GM(GM1):"/tp elvine"
2020:06:20:18:12:10	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp cityhall_1"
2020:06:20:18:25:30	Loc(arebrk11) IP(192.168.0.12) GM(GM1):"/tp cityhall_1"
2020:06:20:18:25:39	Loc(arebrk11) IP(192.168.0.12) GM(GM1):"/tp abaddon"
2020:06:20:18:26:00	Loc(abaddon) IP(192.168.0.12) GM(GM1):"/tp elvine"
2020:06:20:18:26:04	Loc(elvine) IP(192.168.0.12) GM(GM1):"/tp aresden"
2020:06:20:18:26:05	Loc(aresden) IP(192.168.0.12) GM(GM1):"/tp aresden"
