2020:06:23:19:24:04	Loc(cityhall_2) IP(192.168.0.28) PC(Testin):"/lockme"
2020:06:23:19:40:23	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp elvine"
2020:06:23:19:44:17	Loc(elvine) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:19	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:20	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:22	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:23	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:25	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:26	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:27	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:28	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:29	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:31	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:44:32	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:06:23:19:55:55	Loc(elvine) IP(192.168.0.28) GM(GM1):"/tp icebound"
2020:06:23:19:56:15	Loc(icebound) IP(192.168.0.28) GM(GM1):"/who"
2020:06:23:20:09:18	Loc(icebound) IP(192.168.0.28) GM(GM1):"/tp elvine"
2020:06:23:20:09:27	Loc(elvine) IP(192.168.0.28) GM(GM1):"/summon Orc"
2020:06:23:20:09:35	Loc(elvine) IP(192.168.0.28) GM(GM1):"/summon Orc"
2020:06:23:20:09:40	Loc(elvine) IP(192.168.0.28) GM(GM1):"/summon Orc"
2020:06:23:20:09:57	Loc(elvine) IP(192.168.0.28) GM(GM1):"/summon Abaddon"
2020:06:23:20:10:24	Loc(elvine) IP(192.168.0.28) GM(GM1):"/summon Guard-Elvine 20"
2020:06:23:20:11:18	Loc(elvine) IP(192.168.0.28) GM(GM1):"/clearnpc"
2020:06:23:20:11:50	Loc(elvine) IP(192.168.0.28) GM(GM1):"/summon Abaddon 10"
2020:06:23:20:11:53	Loc(elvine) IP(192.168.0.28) GM(GM1):"/clearnpc"
