2020:07:10:16:38:41	Loc(abaddon) IP(192.168.0.28) GM(GM1):"/enableadmincommand 2257516364627831 "
2020:07:10:16:38:47	Loc(abaddon) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:38:51	Loc(abaddon) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:38:57	Loc(abaddon) IP(192.168.0.28) GM(GM1):"/beginctf"
2020:07:10:16:39:00	Loc(abaddon) IP(192.168.0.28) GM(GM1):"/tp elvine"
2020:07:10:16:39:19	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:39:23	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:40:25	Loc(elvine) IP(192.168.0.28) GM(GM1):"/enableadmincommand 2257516364627831 "
2020:07:10:16:40:31	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:41:20	Loc(aresden) IP(192.168.0.28) GM(Admin):"/enableadmincommand 2257516364627831 "
2020:07:10:16:41:23	Loc(aresden) IP(192.168.0.28) GM(Admin):"/ctf"
2020:07:10:16:45:59	Loc(elvine) IP(192.168.0.28) GM(GM1):"/enableadmincommand 2257516364627831 "
2020:07:10:16:46:03	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:05	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:06	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:06	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:06	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:07	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:07	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:07	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:08	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:08	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:09	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:46:54	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:47:11	Loc(elvine) IP(192.168.0.28) GM(GM1):"/createitem KnightBlackTemple"
2020:07:10:16:47:28	Loc(elvine) IP(192.168.0.28) GM(GM1):"/enableadmincommand 2257516364627831 "
2020:07:10:16:47:32	Loc(elvine) IP(192.168.0.28) GM(GM1):"/createitem Fish"
2020:07:10:16:47:40	Loc(elvine) IP(192.168.0.28) GM(GM1):"/createitem BlackMageTemple "
2020:07:10:16:52:01	Loc(elvine) IP(192.168.0.28) GM(GM1):"/enableadmincommand 2257516364627831 "
2020:07:10:16:52:04	Loc(elvine) IP(192.168.0.28) GM(GM1):"/enableadmincommand 2257516364627831 "
2020:07:10:16:53:13	Loc(elvine) IP(192.168.0.28) GM(GM1):"/enableadmincommand 2257516364627831 "
2020:07:10:16:53:17	Loc(elvine) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:16:53:40	Loc(elvine) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:07:10:16:53:42	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:07:10:16:53:44	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:07:10:16:53:46	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden"
2020:07:10:16:53:58	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp aresden 161 142"
2020:07:10:16:54:12	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp elvine"
2020:07:10:16:59:13	Loc(elvine) IP(192.168.0.28) GM(GM1):"/tp aresden 151 135"
2020:07:10:16:59:22	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp elvine"
2020:07:10:17:05:11	Loc(elvine) IP(192.168.0.28) GM(GM1):"/tp aresden 151 153"
2020:07:10:17:05:26	Loc(aresden) IP(192.168.0.28) GM(GM1):"/tp middleland"
2020:07:10:17:07:53	Loc(middleland) IP(192.168.0.28) GM(GM1):"/ctf"
2020:07:10:17:07:57	Loc(middleland) IP(192.168.0.28) GM(GM1):"/enableadmincommand 2257516364627831 "
2020:07:10:17:08:03	Loc(middleland) IP(192.168.0.28) GM(GM1):"/ctf"
