2020:07:26:10:46:23	Loc(cityhall_1) IP(10.0.0.105) PC(magnos):"/getskills"
2020:07:26:10:47:32	Loc(aresden) IP(10.0.0.105) GM(Magn0S[GM]):"/tp cityhall_1"
2020:07:26:10:59:06	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/enableadmincommand 2257516364627831 "
2020:07:26:10:59:12	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:10:59:12	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:10:59:13	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:10:59:13	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:10:59:13	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:10:59:13	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:10:59:14	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:10:59:14	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:10:59:16	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:10:59:16	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:10:59:17	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:10:59:17	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:10:59:17	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:10:59:17	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:10:59:18	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:10:59:18	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:11:04:34	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/enableadmincommand 2257516364627831 "
2020:07:26:11:04:40	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:11:04:40	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:11:04:41	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:11:04:41	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:11:04:42	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:11:04:42	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:11:04:43	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:11:04:43	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
2020:07:26:11:04:44	Loc(cityhall_1) IP(10.0.0.105) GM(Magn0S[GM]):"/createitem BigRedPotion"
2020:07:26:11:04:44	(10.0.0.105) GM Order(Magn0S[GM]): Create ItemName(BigRedPotion)
