2020:08:08:16:04:52	Loc(cityhall_2) IP(187.39.33.68) PC(exr):"/tp 43 47"
2020:08:09:01:38:03	Loc(cityhall_1) IP(100.33.33.204) PC(GGhE):"/who"
2020:08:09:10:36:29	Loc(cityhall_2) IP(168.195.97.31) PC(rafhaa):"/who"
2020:08:09:10:36:31	Loc(cityhall_2) IP(168.195.97.31) PC(rafhaa):"/who"
2020:08:09:10:36:31	Loc(cityhall_2) IP(168.195.97.31) PC(rafhaa):"/who"
2020:08:09:10:36:31	Loc(cityhall_2) IP(168.195.97.31) PC(rafhaa):"/who"
2020:08:09:10:36:31	Loc(cityhall_2) IP(168.195.97.31) PC(rafhaa):"/who"
2020:08:09:10:43:06	Loc(elvine) IP(168.195.97.31) PC(rafhaa):"/who"
2020:08:09:12:55:04	Loc(default) IP(121.121.176.195) PC(Cuka):"/who"
2020:08:09:17:39:08	Loc(elvine) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:17:55:27	Loc(elvine) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:17:55:43	Loc(elvine) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:18:12:46	Loc(middleland) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:18:24:23	Loc(middleland) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:18:34:37	Loc(middleland) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:18:47:20	Loc(middleland) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:18:50:54	Loc(middleland) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:19:16:22	Loc(middleland) IP(24.208.3.0) PC(Moist):"Xa"
2020:08:09:20:15:33	Loc(middleland) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:20:19:58	Loc(default) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:22:31	Loc(aresden) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:24:16	Loc(aresden) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:20:26:01	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:26:19	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:26:20	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:26:20	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:26:20	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:26:20	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:27:17	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:29:09	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:29:11	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:34:41	Loc(arebrk11) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:41:33	Loc(aresden) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:20:46:48	Loc(cityhall_2) IP(24.208.3.0) PC(Moist):"/criticals"
2020:08:09:20:49:53	Loc(2ndmiddle) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:20:50:01	Loc(2ndmiddle) IP(179.4.199.43) PC(Otto):"/to "
2020:08:09:20:50:55	Loc(2ndmiddle) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:20:51:12	Loc(2ndmiddle) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:20:53:29	Loc(2ndmiddle) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:21:02:29	Loc(cityhall_1) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:21:13:35	Loc(cityhall_1) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:21:19:37	Loc(middleland) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:21:23:47	Loc(icebound) IP(179.4.199.43) PC(Otto):"/showdmg"
2020:08:09:21:29:13	Loc(icebound) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:21:29:23	Loc(icebound) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:21:36:27	Loc(icebound) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:21:42:24	Loc(aresden) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:21:49:57	Loc(aresden) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:21:50:02	Loc(aresden) IP(179.4.199.43) PC(Otto):"!"
2020:08:09:21:50:14	Loc(aresden) IP(179.4.199.43) PC(Otto):"/showdmg"
2020:08:09:21:59:18	Loc(default) IP(89.76.44.236) PC(Nivka):"/"
2020:08:09:21:59:21	Loc(default) IP(89.76.44.236) PC(Nivka):"/who"
2020:08:09:21:59:26	Loc(default) IP(89.76.44.236) PC(Nivka):"/online"
2020:08:09:22:00:35	Loc(aresden) IP(179.4.199.43) PC(Otto):"/criticals"
2020:08:09:22:02:02	Loc(elvine) IP(89.76.44.236) PC(Nivka):"/criticals"
2020:08:09:22:03:11	Loc(aresden) IP(179.4.199.43) PC(Otto):"/who"
2020:08:09:22:03:15	Loc(aresden) IP(179.4.199.43) PC(Otto):"!"
2020:08:09:22:03:18	Loc(elvine) IP(89.76.44.236) PC(Nivka):"!"
2020:08:09:22:03:22	Loc(aresden) IP(179.4.199.43) PC(Otto):"!hola"
2020:08:09:22:04:07	Loc(aresden) IP(179.4.199.43) PC(Otto):"!server free items ?"
2020:08:09:22:04:16	Loc(aresden) IP(179.4.199.43) PC(Otto):"!/showdmg"
2020:08:09:22:04:22	Loc(aresden) IP(179.4.199.43) PC(Otto):"/showdmg"
2020:08:09:22:04:26	Loc(elvine) IP(89.76.44.236) PC(Nivka):"/showdmg"
2020:08:09:22:07:17	Loc(aresden) IP(179.4.199.43) PC(Otto):"/criticals"
