2020:07:05:00:14:56	NPC(Zombie)	Drop	RingofMage(1 11096 19983 8341)
2020:07:05:00:14:57	NPC(Zombie)	Drop	KnecklaceOfSufferent(1 24934 12319 10038)
2020:07:05:13:17:46	NPC(Zombie)	Drop	KnecklaceOfSufferent(1 18826 17420 6756)
2020:07:05:13:17:53	NPC(Zombie)	Drop	RingofMage(1 2062 22453 13956)
2020:07:05:14:55:23	NPC(Zombie)	Drop	KnecklaceOfSufferent(1 11496 17073 31103)
2020:07:05:21:32:18	(10.0.0.105) PC(Magn0S[GM])	Drop	BleedingIslandTicket(1 0 0 0 0)	cityhall_1(52 43)
2020:07:05:21:32:23	(10.0.0.105) PC(Magn0S[GM])	Drop	XelimaBlade(1 8498 1900 629 0)	cityhall_1(52 43)
2020:07:05:21:32:24	(10.0.0.105) PC(Magn0S[GM])	Drop	XelimaBlade(1 0 0 0 0)	cityhall_1(52 43)
2020:07:05:21:34:02	(10.0.0.105) PC(Magn0S[GM])	Deplete	KlonessBlade(1 0 0 0 0)	cityhall_1(48 43)
2020:07:05:21:35:28	(10.0.0.105) PC(Magn0S[GM])	Drop	DemonSlayer(1 13665 7846 7 0)	cityhall_1(48 43)
2020:07:05:21:35:30	(10.0.0.105) PC(Magn0S[GM])	Get	DemonSlayer(1 13665 7846 7 0)	cityhall_1(48 43)
2020:07:05:21:35:32	(10.0.0.105) PC(Magn0S[GM])	Drop	DemonSlayer(1 13665 7846 7 0)	cityhall_1(48 43)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Sell	50000GoldPocket(1 6268 18202 7 0)	cityhall_1(50 42)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Deplete	50000GoldPocket(1 6268 18202 7 0)	cityhall_1(50 42)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Sell	50000GoldPocket(1 23485 183 7 0)	cityhall_1(50 42)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Deplete	50000GoldPocket(1 23485 183 7 0)	cityhall_1(50 42)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Sell	50000GoldPocket(1 14382 25051 7 0)	cityhall_1(50 42)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Deplete	50000GoldPocket(1 14382 25051 7 0)	cityhall_1(50 42)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Sell	50000GoldPocket(1 4123 10606 7 0)	cityhall_1(50 42)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Deplete	50000GoldPocket(1 4123 10606 7 0)	cityhall_1(50 42)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Sell	50000GoldPocket(1 12504 2650 7 0)	cityhall_1(50 42)
2020:07:05:21:35:53	(10.0.0.105) PC(Magn0S[GM])	Deplete	50000GoldPocket(1 12504 2650 7 0)	cityhall_1(50 42)
2020:07:05:21:37:26	(10.0.0.105) PC(Magn0S[GM])	Drop	DarkMageHauberk(1 5881 198 1 0)	cityhall_1(53 42)
2020:07:05:21:37:27	(10.0.0.105) PC(Magn0S[GM])	Drop	DarkMageChainMail(1 5881 198 1 0)	cityhall_1(53 42)
2020:07:05:21:37:32	(10.0.0.105) PC(Magn0S[GM])	Drop	BlackShadowSword(1 0 0 0 0)	cityhall_1(53 42)
2020:07:05:21:37:33	(10.0.0.105) PC(Magn0S[GM])	Get	BlackShadowSword(1 0 0 0 0)	cityhall_1(53 42)
2020:07:05:21:40:26	(10.0.0.105) PC(Magn0S[GM])	Get	DarkMageChainMail(1 5881 198 1 0)	cityhall_1(53 42)
2020:07:05:21:40:27	(10.0.0.105) PC(Magn0S[GM])	Get	XelimaBlade(1 0 0 0 0)	cityhall_1(52 43)
2020:07:05:21:40:29	(10.0.0.105) PC(Magn0S[GM])	Get	DemonSlayer(1 13665 7846 7 0)	cityhall_1(48 43)
2020:07:05:21:40:33	(10.0.0.105) PC(Magn0S[GM])	Drop	DarkMageChainMail(1 5881 198 1 0)	cityhall_1(53 44)
2020:07:05:21:40:56	(10.0.0.105) PC(Magn0S[GM])	Get	TargeShield(1 1737 24047 7 820000)	cityhall_1(45 42)
2020:07:05:21:41:42	(10.0.0.105) PC(Magn0S[GM])	Drop	DemonSlayer(1 16771 19386 7 0)	aresden(149 127)
2020:07:05:21:42:45	(10.0.0.105) PC(Magn0S[GM])	Deplete	RepairScroll(1 19537 19834 7 0)	cityhall_1(53 42)
2020:07:05:21:42:51	(10.0.0.105) PC(Magn0S[GM])	Deplete	RepairScroll(1 7251 10153 7 0)	cityhall_1(53 42)
2020:07:05:21:47:22	(10.0.0.105) PC(Magn0S[GM])	Drop	TargeShield(1 1737 24047 7 820000)	cityhall_1(52 42)
2020:07:05:21:50:04	(10.0.0.105) PC(Magn0S[GM])	Drop	TowerShield(1 31049 29407 630 830000)	aresden(149 127)
2020:07:05:21:50:16	(10.0.0.105) PC(Magn0S[GM])	Drop	DemonSlayer(1 13665 7846 7 0)	aresden(150 126)
2020:07:05:21:50:53	(10.0.0.105) PC(Magn0S[GM])	Get	TargeShield(1 1737 24047 7 820000)	cityhall_1(52 42)
2020:07:05:22:46:40	NPC(Zombie)	Drop	KnecklaceOfSufferent(1 2633 28431 23304)
2020:07:05:23:06:41	NPC(Zombie)	Drop	KnecklaceOfPoisonPro(1 13034 23634 -21229)
