2020:08:02:20:23:47	(68.193.0.242) PC(R00A)	Drop	KlonessWand(MS.20)(1 0 0 0 0)	cityhall_2(48 41)
2020:08:02:21:38:25	(181.44.105.64) PC(Centuu)	Get	Gold(880 3366 2320 8 0)	aresden(129 47)
2020:08:02:21:43:49	(181.44.105.64) PC(Centuu)	Get	Gold(880 10382 15748 8 0)	aresden(137 48)
2020:08:02:21:48:25	(181.43.22.115) PC(Alaskalli)	Sell	HeroWand(1 0 0 0 0)	cityhall_2(44 44)
2020:08:02:21:50:42	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(149 270)
2020:08:02:21:50:45	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(146 270)
2020:08:02:21:51:50	(181.43.22.115) PC(Alaskalli)	Get	Horned-Helm(W)(1 5039 20340 8 830000)	elvine(155 261)
2020:08:02:21:51:51	(181.43.22.115) PC(Alaskalli)	Get	Horned-Helm(M)(1 27677 23002 8 820000)	elvine(156 261)
2020:08:02:21:51:52	(181.43.22.115) PC(Alaskalli)	Get	Gold(8130 31406 20838 8 0)	elvine(158 260)
2020:08:02:21:51:54	(181.43.22.115) PC(Alaskalli)	Get	Gold(8740 1473 14275 8 0)	elvine(159 258)
2020:08:02:21:52:07	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(150 259)
2020:08:02:21:52:24	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(150 262)
2020:08:02:21:52:29	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(153 260)
2020:08:02:21:52:31	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(155 262)
2020:08:02:21:53:40	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(149 258)
2020:08:02:21:53:41	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(149 258)
2020:08:02:21:53:51	(181.43.22.115) PC(Alaskalli)	Deplete	BlueCandy(1 0 0 0 0)	elvine(158 267)
